ID;Job Title;Salary Estimate;Rating;Company Name;Location;Headquarters;Size;Founded;Type of ownership;Industry;Sector;Revenue;Competitors
381;Data Modeler - Data Solutions Engineer;$37K-$66K (Glassdoor est.);3.3;Liberty Mutual Insurance;Indianapolis, IN;Boston, MA;10000+ employees;1912;Company - Private;Insurance Carriers;Insurance;$10+ billion (USD);Travelers, Allstate, State Farm
382;Associate Environmental Scientist - Wildlife Biologist;$38K-$64K (Glassdoor est.);4.7;QK;Clovis, CA;Visalia, CA;51 to 200 employees;1972;Company - Private;Architectural & Engineering Services;Business Services;$10 to $25 million (USD);-1
383;Associate, Data Science, Internal Audit;$43K-$82K (Glassdoor est.);3.1;Santander;Boston, MA;Madrid, Spain;10000+ employees;1856;Company - Private;Banks & Credit Unions;Finance;$10+ billion (USD);-1
384;Sr Data Engineer (Sr BI Developer);$90K-$110K(Employer est.);3.4;Tivity Health;Chandler, AZ;Franklin, TN;501 to 1000 employees;1981;Company - Public;Health Care Services & Hospitals;Health Care;Unknown / Non-Applicable;-1
385;Data Engineer;$61K-$109K (Glassdoor est.);4.4;BRMi;Chantilly, VA;Washington, DC;51 to 200 employees;2004;Company - Private;IT Services;Information Technology;Unknown / Non-Applicable;-1
386;Senior LiDAR Data Scientist;$93K-$151K (Glassdoor est.);3.9;Luminar Technologies;Orlando, FL;Orlando, FL;201 to 500 employees;2012;Company - Private;Computer Hardware & Software;Information Technology;Unknown / Non-Applicable;-1
387;Salesforce Analytics Consultant;$52K-$81K (Glassdoor est.);3.9;Emtec, Inc.;Chicago, IL;Jacksonville, FL;501 to 1000 employees;1995;Company - Private;Enterprise Software & Network Solutions;Information Technology;$100 to $500 million (USD);-1
388;Technology-Minded, Data Professional Opportunities;$40K-$101K (Glassdoor est.);4.7;Veterans United Home Loans;Columbia, MO;Columbia, MO;1001 to 5000 employees;2002;Company - Private;Lending;Finance;Unknown / Non-Applicable;-1
389;Senior Data Engineer;$97K-$180K (Glassdoor est.);4.7;Praetorian;Austin, TX;Austin, TX;51 to 200 employees;2010;Company - Private;Security Services;Business Services;$10 to $25 million (USD);-1
390;Managing Data Scientist/ML Engineer;$81K-$134K (Glassdoor est.);3.4;PA Consulting;Boston, MA;London, United Kingdom;1001 to 5000 employees;1943;Company - Private;Consulting;Business Services;$100 to $500 million (USD);McKinsey & Company, Accenture, Deloitte
