ID,hourly,employer_provided,min_salary,max_salary,avg_salary,job_state,same_state,age,python_yn,R_yn,spark,aws,excel
401,0,0,83,148,115.5, IA,1,-1,1,0,0,0,1
402,0,0,60,101,80.5, WA,1,55,0,0,0,0,0
403,0,0,31,55,43, IA,1,28,0,0,0,0,1
404,0,0,102,178,140, MA,1,17,0,0,0,0,1
405,0,1,110,130,120, MA,0,-1,0,0,0,0,0
406,0,0,48,85,66.5, PA,1,37,0,0,0,0,1
407,0,0,66,123,94.5, CA,0,14,1,0,0,1,0
408,0,0,92,146,119, WA,0,55,0,0,0,0,0
409,1,0,21,29,25, NE,0,24,0,0,0,0,0
410,1,0,10,17,13.5, TN,0,20,0,0,0,0,1
411,0,0,150,239,194.5, IL,0,108,1,0,0,0,0
412,0,0,52,91,71.5, TX,1,73,1,0,0,1,1
413,0,0,82,129,105.5, TX,1,-1,1,0,0,1,0
414,0,0,47,101,74, NC,1,145,0,0,0,0,1
415,0,0,49,76,62.5, AL,0,98,0,0,0,0,1
416,0,0,43,88,65.5, NC,0,62,0,0,0,0,0
417,0,0,124,199,161.5, NJ,1,31,1,0,0,1,1
418,0,0,52,93,72.5, PA,1,17,0,0,0,0,1
419,0,0,97,181,139, CA,1,12,1,0,0,1,1
420,0,0,100,173,136.5, CA,1,13,0,0,0,0,0
421,0,0,53,96,74.5, NY,1,18,1,0,1,0,0
422,0,0,65,96,80.5, NC,1,145,0,0,0,0,1
423,0,0,56,95,75.5, NM,0,150,1,0,0,0,1
424,0,0,111,176,143.5, MO,1,4,1,0,1,0,0
425,0,0,75,127,101, VA,0,6,1,0,0,0,0
426,0,0,65,119,92, MA,1,169,1,0,1,0,1
427,0,0,56,97,76.5, WA,1,55,1,0,0,0,0
428,0,0,108,173,140.5, UT,1,7,1,0,0,1,0
429,0,0,94,139,116.5, NJ,0,208,0,0,0,0,1
430,0,0,176,289,232.5, CA,0,21,1,0,0,0,0
431,0,0,92,149,120.5, CA,1,4,1,0,0,0,0
432,0,0,63,101,82, VA,0,51,1,0,0,0,0
433,0,0,54,115,84.5, NY,1,6,0,0,0,0,0
434,0,0,118,188,153, CA,0,13,1,0,1,1,0
435,0,0,108,146,127, CA,1,12,1,0,1,0,0
436,0,0,65,106,85.5, CA,1,10,1,0,1,0,1
437,0,0,55,98,76.5, NY,1,44,1,0,0,0,1
438,0,0,94,162,128, NY,0,28,1,0,1,0,0
439,0,0,63,120,91.5, PA,0,-1,1,0,1,1,1
440,0,0,90,179,134.5, MA,1,7,0,0,0,0,0
441,0,0,127,202,164.5, CA,1,12,0,0,0,0,0
442,0,0,60,127,93.5, MD,1,18,0,0,0,0,1
443,0,0,31,57,44, FL,1,29,0,0,0,0,0
444,0,0,105,194,149.5, TX,0,10,0,0,1,1,0
445,0,0,45,86,65.5, DC,1,13,0,0,1,1,1
446,0,0,75,143,109, VA,0,5,1,0,1,0,0
447,0,0,126,228,177, CA,1,32,1,0,1,1,0
448,0,0,80,134,107, VA,0,10,1,0,1,0,1
449,0,0,120,189,154.5, CA,1,8,1,0,1,0,1
450,0,0,85,142,113.5, CA,0,-1,1,0,1,0,0
451,0,0,95,154,124.5, NC,1,3,1,0,1,0,1
452,0,0,111,176,143.5, CA,1,-1,1,0,0,0,1
453,0,0,87,140,113.5, CA,0,-1,1,0,0,0,0
454,0,0,76,127,101.5, VA,0,51,1,0,0,1,0
